field_1,xcoord,ycoord,PA,Value
177,554132.1517,1493947.381,outside_bhadra,1
178,554132.1517,1493367.381,outside_bhadra,1
179,554132.1517,1492787.381,outside_bhadra,1
180,554132.1517,1491047.381,outside_bhadra,1
181,554132.1517,1490467.381,outside_bhadra,1
182,554132.1517,1489887.381,outside_bhadra,1
183,554132.1517,1489307.381,outside_bhadra,1
184,554132.1517,1488727.381,outside_bhadra,1
185,554132.1517,1488147.381,outside_bhadra,1
186,554132.1517,1478867.381,outside_bhadra,1
187,554132.1517,1478287.381,outside_bhadra,1
188,554132.1517,1477707.381,outside_bhadra,1
189,554132.1517,1476547.381,outside_bhadra,1
190,554132.1517,1475967.381,outside_bhadra,1
191,554132.1517,1475387.381,outside_bhadra,1
192,554712.1517,1524107.381,outside_bhadra,1
193,554712.1517,1522947.381,outside_bhadra,1
194,554712.1517,1521207.381,outside_bhadra,1
195,554712.1517,1519467.381,outside_bhadra,1
196,554712.1517,1518887.381,outside_bhadra,1
197,554712.1517,1518307.381,outside_bhadra,1
198,554712.1517,1517727.381,outside_bhadra,1
199,554712.1517,1517147.381,outside_bhadra,1
200,554712.1517,1516567.381,outside_bhadra,1
201,554712.1517,1515407.381,outside_bhadra,1
202,554712.1517,1514827.381,outside_bhadra,1
203,554712.1517,1514247.381,outside_bhadra,1
204,554712.1517,1513667.381,outside_bhadra,1
205,554712.1517,1513087.381,outside_bhadra,1
206,554712.1517,1512507.381,outside_bhadra,1
207,554712.1517,1511927.381,outside_bhadra,1
208,554712.1517,1511347.381,outside_bhadra,1
209,554712.1517,1510767.381,outside_bhadra,1
210,554712.1517,1499167.381,outside_bhadra,1
211,554712.1517,1498587.381,outside_bhadra,1
212,554712.1517,1498007.381,outside_bhadra,1
213,554712.1517,1497427.381,outside_bhadra,1
214,554712.1517,1496847.381,outside_bhadra,1
215,554712.1517,1496267.381,outside_bhadra,1
216,554712.1517,1495687.381,outside_bhadra,1
217,554712.1517,1495107.381,outside_bhadra,1
218,554712.1517,1494527.381,outside_bhadra,1
219,554712.1517,1493947.381,outside_bhadra,1
220,554712.1517,1493367.381,outside_bhadra,1
221,554712.1517,1492787.381,outside_bhadra,1
222,554712.1517,1491627.381,outside_bhadra,1
223,554712.1517,1491047.381,outside_bhadra,1
224,554712.1517,1490467.381,outside_bhadra,1
225,554712.1517,1489887.381,outside_bhadra,1
226,554712.1517,1488727.381,outside_bhadra,1
227,554712.1517,1488147.381,outside_bhadra,1
228,554712.1517,1478867.381,outside_bhadra,1
229,554712.1517,1477707.381,outside_bhadra,1
230,554712.1517,1477127.381,outside_bhadra,1
231,554712.1517,1476547.381,outside_bhadra,1
232,554712.1517,1475967.381,outside_bhadra,1
233,554712.1517,1475387.381,outside_bhadra,1
234,554712.1517,1474807.381,outside_bhadra,1
235,554712.1517,1474227.381,outside_bhadra,1
236,554712.1517,1472487.381,outside_bhadra,1
237,554712.1517,1471907.381,outside_bhadra,1
238,555292.1517,1522947.381,outside_bhadra,1
239,555292.1517,1521787.381,outside_bhadra,1
240,555292.1517,1519467.381,outside_bhadra,1
241,555292.1517,1518887.381,outside_bhadra,1
242,555292.1517,1518307.381,outside_bhadra,1
243,555292.1517,1517727.381,outside_bhadra,1
244,555292.1517,1517147.381,outside_bhadra,1
245,555292.1517,1516567.381,outside_bhadra,1
246,555292.1517,1515407.381,outside_bhadra,1
247,555292.1517,1514827.381,outside_bhadra,1
248,555292.1517,1514247.381,outside_bhadra,1
249,555292.1517,1513667.381,outside_bhadra,1
250,555292.1517,1513087.381,outside_bhadra,1
251,555292.1517,1512507.381,outside_bhadra,1
252,555292.1517,1511927.381,outside_bhadra,1
253,555292.1517,1511347.381,outside_bhadra,1
254,555292.1517,1510767.381,outside_bhadra,1
255,555292.1517,1498587.381,outside_bhadra,1
256,555292.1517,1498007.381,outside_bhadra,1
257,555292.1517,1497427.381,outside_bhadra,1
258,555292.1517,1496847.381,outside_bhadra,1
259,555292.1517,1496267.381,outside_bhadra,1
260,555292.1517,1495687.381,outside_bhadra,1
261,555292.1517,1495107.381,outside_bhadra,1
262,555292.1517,1494527.381,outside_bhadra,1
263,555292.1517,1493947.381,outside_bhadra,1
264,555292.1517,1493367.381,outside_bhadra,1
265,555292.1517,1492787.381,outside_bhadra,1
266,555292.1517,1492207.381,outside_bhadra,1
267,555292.1517,1491627.381,outside_bhadra,1
268,555292.1517,1491047.381,outside_bhadra,1
269,555292.1517,1490467.381,outside_bhadra,1
270,555292.1517,1489887.381,outside_bhadra,1
271,555292.1517,1489307.381,outside_bhadra,1
272,555292.1517,1488727.381,outside_bhadra,1
273,555292.1517,1488147.381,outside_bhadra,1
274,555292.1517,1487567.381,outside_bhadra,1
275,555292.1517,1486987.381,outside_bhadra,1
276,555292.1517,1478867.381,outside_bhadra,1
277,555292.1517,1478287.381,outside_bhadra,1
278,555292.1517,1477707.381,outside_bhadra,1
279,555292.1517,1476547.381,outside_bhadra,1
280,555292.1517,1475967.381,outside_bhadra,1
281,555292.1517,1475387.381,outside_bhadra,1
282,555292.1517,1474807.381,outside_bhadra,1
283,555292.1517,1474227.381,outside_bhadra,1
284,555292.1517,1473647.381,outside_bhadra,1
285,555292.1517,1473067.381,outside_bhadra,1
286,555292.1517,1472487.381,outside_bhadra,1
287,555292.1517,1471907.381,outside_bhadra,1
288,555872.1517,1524687.381,outside_bhadra,1
289,555872.1517,1524107.381,outside_bhadra,1
290,555872.1517,1523527.381,outside_bhadra,1
291,555872.1517,1522947.381,outside_bhadra,1
292,555872.1517,1521787.381,outside_bhadra,1
293,555872.1517,1520047.381,outside_bhadra,1
294,555872.1517,1519467.381,outside_bhadra,1
295,555872.1517,1518887.381,outside_bhadra,1
296,555872.1517,1518307.381,outside_bhadra,1
297,555872.1517,1517727.381,outside_bhadra,1
298,555872.1517,1517147.381,outside_bhadra,1
299,555872.1517,1516567.381,outside_bhadra,1
300,555872.1517,1514247.381,outside_bhadra,1
301,555872.1517,1513667.381,outside_bhadra,1
302,555872.1517,1513087.381,outside_bhadra,1
303,555872.1517,1512507.381,outside_bhadra,1
304,555872.1517,1511927.381,outside_bhadra,1
305,555872.1517,1511347.381,outside_bhadra,1
306,555872.1517,1510767.381,outside_bhadra,1
307,555872.1517,1499167.381,outside_bhadra,1
308,555872.1517,1498587.381,outside_bhadra,1
309,555872.1517,1498007.381,outside_bhadra,1
310,555872.1517,1497427.381,outside_bhadra,1
311,555872.1517,1496847.381,outside_bhadra,1
312,555872.1517,1496267.381,outside_bhadra,1
313,555872.1517,1495687.381,outside_bhadra,1
314,555872.1517,1495107.381,outside_bhadra,1
315,555872.1517,1494527.381,outside_bhadra,1
316,555872.1517,1493947.381,outside_bhadra,1
317,555872.1517,1493367.381,outside_bhadra,1
318,555872.1517,1492787.381,outside_bhadra,1
319,555872.1517,1492207.381,outside_bhadra,1
320,555872.1517,1491627.381,outside_bhadra,1
321,555872.1517,1491047.381,outside_bhadra,1
322,555872.1517,1490467.381,outside_bhadra,1
323,555872.1517,1489887.381,outside_bhadra,1
324,555872.1517,1489307.381,outside_bhadra,1
325,555872.1517,1488727.381,outside_bhadra,1
326,555872.1517,1488147.381,outside_bhadra,1
327,555872.1517,1487567.381,outside_bhadra,1
328,555872.1517,1478287.381,outside_bhadra,1
329,555872.1517,1475967.381,outside_bhadra,1
330,555872.1517,1475387.381,outside_bhadra,1
331,555872.1517,1474807.381,outside_bhadra,1
332,555872.1517,1474227.381,outside_bhadra,1
333,555872.1517,1473647.381,outside_bhadra,1
334,555872.1517,1473067.381,outside_bhadra,1
335,555872.1517,1472487.381,outside_bhadra,1
336,555872.1517,1471907.381,outside_bhadra,1
337,555872.1517,1470747.381,outside_bhadra,1
338,556452.1517,1525267.381,outside_bhadra,1
339,556452.1517,1524687.381,outside_bhadra,1
340,556452.1517,1524107.381,outside_bhadra,1
341,556452.1517,1523527.381,outside_bhadra,1
342,556452.1517,1522947.381,outside_bhadra,1
343,556452.1517,1522367.381,outside_bhadra,1
344,556452.1517,1521787.381,outside_bhadra,1
345,556452.1517,1519467.381,outside_bhadra,1
346,556452.1517,1518887.381,outside_bhadra,1
347,556452.1517,1518307.381,outside_bhadra,1
348,556452.1517,1517727.381,outside_bhadra,1
349,556452.1517,1516567.381,outside_bhadra,1
350,556452.1517,1515987.381,outside_bhadra,1
351,556452.1517,1515407.381,outside_bhadra,1
352,556452.1517,1514827.381,outside_bhadra,1
353,556452.1517,1514247.381,outside_bhadra,1
354,556452.1517,1513667.381,outside_bhadra,1
355,556452.1517,1513087.381,outside_bhadra,1
356,556452.1517,1512507.381,outside_bhadra,1
357,556452.1517,1511927.381,outside_bhadra,1
358,556452.1517,1511347.381,outside_bhadra,1
359,556452.1517,1498587.381,outside_bhadra,1
360,556452.1517,1498007.381,outside_bhadra,1
361,556452.1517,1497427.381,outside_bhadra,1
362,556452.1517,1496847.381,outside_bhadra,1
363,556452.1517,1496267.381,outside_bhadra,1
364,556452.1517,1495687.381,outside_bhadra,1
365,556452.1517,1495107.381,outside_bhadra,1
366,556452.1517,1494527.381,outside_bhadra,1
367,556452.1517,1493947.381,outside_bhadra,1
368,556452.1517,1493367.381,outside_bhadra,1
369,556452.1517,1492787.381,outside_bhadra,1
370,556452.1517,1492207.381,outside_bhadra,1
371,556452.1517,1491627.381,outside_bhadra,1
372,556452.1517,1491047.381,outside_bhadra,1
373,556452.1517,1490467.381,outside_bhadra,1
374,556452.1517,1489307.381,outside_bhadra,1
375,556452.1517,1488727.381,outside_bhadra,1
376,556452.1517,1488147.381,outside_bhadra,1
377,556452.1517,1487567.381,outside_bhadra,1
378,556452.1517,1474807.381,outside_bhadra,1
379,556452.1517,1474227.381,outside_bhadra,1
380,556452.1517,1473647.381,outside_bhadra,1
381,556452.1517,1473067.381,outside_bhadra,1
382,556452.1517,1472487.381,outside_bhadra,1
383,556452.1517,1471907.381,outside_bhadra,1
384,556452.1517,1471327.381,outside_bhadra,1
385,556452.1517,1470747.381,outside_bhadra,1
386,556452.1517,1470167.381,outside_bhadra,1
387,557032.1517,1525847.381,outside_bhadra,1
388,557032.1517,1525267.381,outside_bhadra,1
389,557032.1517,1524687.381,outside_bhadra,1
390,557032.1517,1524107.381,outside_bhadra,1
391,557032.1517,1518887.381,outside_bhadra,1
392,557032.1517,1518307.381,outside_bhadra,1
393,557032.1517,1517727.381,outside_bhadra,1
394,557032.1517,1517147.381,outside_bhadra,1
395,557032.1517,1516567.381,outside_bhadra,1
396,557032.1517,1515987.381,outside_bhadra,1
397,557032.1517,1515407.381,outside_bhadra,1
398,557032.1517,1514827.381,outside_bhadra,1
399,557032.1517,1514247.381,outside_bhadra,1
400,557032.1517,1513667.381,outside_bhadra,1
401,557032.1517,1513087.381,outside_bhadra,1
402,557032.1517,1512507.381,outside_bhadra,1
403,557032.1517,1511927.381,outside_bhadra,1
404,557032.1517,1511347.381,outside_bhadra,1
405,557032.1517,1498007.381,outside_bhadra,1
406,557032.1517,1497427.381,outside_bhadra,1
407,557032.1517,1496847.381,outside_bhadra,1
408,557032.1517,1496267.381,outside_bhadra,1
409,557032.1517,1495687.381,outside_bhadra,1
410,557032.1517,1495107.381,outside_bhadra,1
411,557032.1517,1494527.381,outside_bhadra,1
412,557032.1517,1493947.381,outside_bhadra,1
413,557032.1517,1493367.381,outside_bhadra,1
414,557032.1517,1492787.381,outside_bhadra,1
415,557032.1517,1492207.381,outside_bhadra,1
416,557032.1517,1491627.381,outside_bhadra,1
417,557032.1517,1491047.381,outside_bhadra,1
418,557032.1517,1489887.381,outside_bhadra,1
419,557032.1517,1489307.381,outside_bhadra,1
420,557032.1517,1484087.381,outside_bhadra,1
421,557032.1517,1479447.381,outside_bhadra,1
422,557032.1517,1475387.381,outside_bhadra,1
423,557032.1517,1474807.381,outside_bhadra,1
424,557032.1517,1474227.381,outside_bhadra,1
425,557032.1517,1473647.381,outside_bhadra,1
426,557032.1517,1473067.381,outside_bhadra,1
427,557032.1517,1472487.381,outside_bhadra,1
428,557032.1517,1471907.381,outside_bhadra,1
429,557032.1517,1471327.381,outside_bhadra,1
430,557032.1517,1470747.381,outside_bhadra,1
431,557032.1517,1470167.381,outside_bhadra,1
432,557032.1517,1469587.381,outside_bhadra,1
433,557612.1517,1526427.381,outside_bhadra,1
434,557612.1517,1525847.381,outside_bhadra,1
435,557612.1517,1525267.381,outside_bhadra,1
436,557612.1517,1524687.381,outside_bhadra,1
437,557612.1517,1524107.381,outside_bhadra,1
438,557612.1517,1517727.381,outside_bhadra,1
439,557612.1517,1517147.381,outside_bhadra,1
440,557612.1517,1516567.381,outside_bhadra,1
441,557612.1517,1515987.381,outside_bhadra,1
442,557612.1517,1515407.381,outside_bhadra,1
443,557612.1517,1514827.381,outside_bhadra,1
444,557612.1517,1514247.381,outside_bhadra,1
445,557612.1517,1513667.381,outside_bhadra,1
446,557612.1517,1513087.381,outside_bhadra,1
447,557612.1517,1512507.381,outside_bhadra,1
448,557612.1517,1511347.381,outside_bhadra,1
449,557612.1517,1498587.381,outside_bhadra,1
450,557612.1517,1498007.381,outside_bhadra,1
451,557612.1517,1497427.381,outside_bhadra,1
452,557612.1517,1496847.381,outside_bhadra,1
453,557612.1517,1496267.381,outside_bhadra,1
454,557612.1517,1495687.381,outside_bhadra,1
455,557612.1517,1495107.381,outside_bhadra,1
456,557612.1517,1494527.381,outside_bhadra,1
457,557612.1517,1493947.381,outside_bhadra,1
458,557612.1517,1493367.381,outside_bhadra,1
459,557612.1517,1492787.381,outside_bhadra,1
460,557612.1517,1492207.381,outside_bhadra,1
461,557612.1517,1489307.381,outside_bhadra,1
462,557612.1517,1488727.381,outside_bhadra,1
463,557612.1517,1488147.381,outside_bhadra,1
464,557612.1517,1484667.381,outside_bhadra,1
465,557612.1517,1484087.381,outside_bhadra,1
466,557612.1517,1478867.381,outside_bhadra,1
467,557612.1517,1475387.381,outside_bhadra,1
468,557612.1517,1474807.381,outside_bhadra,1
469,557612.1517,1474227.381,outside_bhadra,1
470,557612.1517,1473647.381,outside_bhadra,1
471,557612.1517,1473067.381,outside_bhadra,1
472,557612.1517,1472487.381,outside_bhadra,1
473,557612.1517,1471907.381,outside_bhadra,1
474,557612.1517,1471327.381,outside_bhadra,1
475,557612.1517,1470747.381,outside_bhadra,1
476,557612.1517,1470167.381,outside_bhadra,1
477,557612.1517,1469587.381,outside_bhadra,1
478,558192.1517,1526427.381,outside_bhadra,1
479,558192.1517,1525847.381,outside_bhadra,1
480,558192.1517,1525267.381,outside_bhadra,1
