xcoord,ycoord,HABITAT,Value
568922.1517,1489518.265,1,1
568922.1517,1488938.265,1,1
568922.1517,1488358.265,1,1
568922.1517,1487778.265,1,1
568922.1517,1487198.265,1,1
568922.1517,1486618.265,1,1
568922.1517,1486038.265,1,1
568922.1517,1485458.265,1,1
568922.1517,1484878.265,1,1
569502.1517,1512138.265,1,1
569502.1517,1511558.265,1,1
569502.1517,1510978.265,1,1
569502.1517,1510398.265,1,1
569502.1517,1509818.265,1,1
569502.1517,1509238.265,1,1
569502.1517,1508658.265,1,1
569502.1517,1508078.265,1,1
569502.1517,1507498.265,1,1
569502.1517,1506918.265,1,1
569502.1517,1506338.265,1,1
569502.1517,1505758.265,1,1
569502.1517,1505178.265,1,1
569502.1517,1504598.265,1,1
569502.1517,1504018.265,1,1
569502.1517,1503438.265,1,1
569502.1517,1502858.265,1,1
569502.1517,1502278.265,1,1
569502.1517,1501698.265,1,1
569502.1517,1501118.265,1,1
569502.1517,1500538.265,1,1
569502.1517,1497638.265,1,1
569502.1517,1497058.265,1,1
569502.1517,1496478.265,1,1
569502.1517,1495898.265,1,1
569502.1517,1495318.265,1,1
569502.1517,1494738.265,1,1
569502.1517,1494158.265,1,1
569502.1517,1493578.265,1,1
569502.1517,1492998.265,1,1
